Source,Relation,Target
Indian ginseng,RELIEVES,learning abilities
Indian ginseng,RELIEVES,emotional control
Indian ginseng,RELIEVES,inflammatory response
Indian ginseng,RELIEVES,apoptosis
Indian ginseng,RELIEVES,necrosis
Indian ginseng,RELIEVES,memory loss
Indian ginseng,RELIEVES,neuronal apoptosis
Indian ginseng,RELIEVES,inflammatory processes
Indian ginseng,RELIEVES,intrusive thoughts
Indian ginseng,RELIEVES,cognitive disturbance
Indian ginseng,RELIEVES,chronic alcohol consumption
SENSORIL,TREATS,cancer
SENSORIL,TREATS,obsessive-compulsive disorder
SENSORIL,TREATS,infertility
SENSORIL,TREATS,sleep disorders
SENSORIL,TREATS,anxiety
SENSORIL,TREATS,hypothyroidism
SENSORIL,TREATS,Alzheimer's disease
SENSORIL,TREATS,dementia
SENSORIL,TREATS,HIV infection
SENSORIL,TREATS,Parkinson's disease
SENSORIL,TREATS,cerebral oedema
SENSORIL,TREATS,Canine Cognitive Dysfunction
SENSORIL,TREATS,Huntington's disease
SENSORIL,TREATS,Alcohol Withdrawal Syndrome
SENSORIL,TREATS,autoimmune diseases
SENSORIL,TREATS,lupus
SENSORIL,TREATS,nephritis
SENSORIL,TREATS,rheumatoid diseases
SENSORIL,TREATS,skin inflammation
SENSORIL,TREATS,arthritis
SENSORIL,RELIEVES,sleep
SENSORIL,RELIEVES,adaptogenic effect
SENSORIL,RELIEVES,stress
SENSORIL,RELIEVES,cognitive function
SENSORIL,RELIEVES,physical performance
SENSORIL,RELIEVES,memory
SENSORIL,RELIEVES,thinking abilities
SENSORIL,RELIEVES,orientation
SENSORIL,RELIEVES,comprehension
SENSORIL,RELIEVES,learning abilities
SENSORIL,RELIEVES,emotional control
SENSORIL,RELIEVES,inflammatory response
SENSORIL,RELIEVES,apoptosis
SENSORIL,RELIEVES,necrosis
SENSORIL,RELIEVES,memory loss
SENSORIL,RELIEVES,neuronal apoptosis
SENSORIL,RELIEVES,inflammatory processes
SENSORIL,RELIEVES,intrusive thoughts
SENSORIL,RELIEVES,cognitive disturbance
SENSORIL,RELIEVES,chronic alcohol consumption
Shoden,TREATS,cancer
Shoden,TREATS,obsessive-compulsive disorder
Shoden,TREATS,infertility
Shoden,TREATS,sleep disorders
Shoden,TREATS,anxiety
Shoden,TREATS,hypothyroidism
Shoden,TREATS,Alzheimer's disease
Shoden,TREATS,dementia
Shoden,TREATS,HIV infection
Shoden,TREATS,Parkinson's disease
Shoden,TREATS,cerebral oedema
Shoden,TREATS,Canine Cognitive Dysfunction
Shoden,TREATS,Huntington's disease
Shoden,TREATS,Alcohol Withdrawal Syndrome
Shoden,TREATS,autoimmune diseases
Shoden,TREATS,lupus
Shoden,TREATS,nephritis
Shoden,TREATS,rheumatoid diseases
Shoden,TREATS,skin inflammation
Shoden,TREATS,arthritis
Shoden,RELIEVES,sleep
Shoden,RELIEVES,adaptogenic effect
Shoden,RELIEVES,stress
Shoden,RELIEVES,cognitive function
Shoden,RELIEVES,physical performance
Shoden,RELIEVES,memory
Shoden,RELIEVES,thinking abilities
Shoden,RELIEVES,orientation
Shoden,RELIEVES,comprehension
Shoden,RELIEVES,learning abilities
Shoden,RELIEVES,emotional control
Shoden,RELIEVES,inflammatory response
Shoden,RELIEVES,apoptosis
Shoden,RELIEVES,necrosis
Shoden,RELIEVES,memory loss
Shoden,RELIEVES,neuronal apoptosis
Shoden,RELIEVES,inflammatory processes
Shoden,RELIEVES,intrusive thoughts
Shoden,RELIEVES,cognitive disturbance
Shoden,RELIEVES,chronic alcohol consumption
Prolanza,TREATS,cancer
Prolanza,TREATS,obsessive-compulsive disorder
Prolanza,TREATS,infertility
Prolanza,TREATS,sleep disorders
Prolanza,TREATS,anxiety
Prolanza,TREATS,hypothyroidism
Prolanza,TREATS,Alzheimer's disease
Prolanza,TREATS,dementia
Prolanza,TREATS,HIV infection
Prolanza,TREATS,Parkinson's disease
Prolanza,TREATS,cerebral oedema
Prolanza,TREATS,Canine Cognitive Dysfunction
Prolanza,TREATS,Huntington's disease
Prolanza,TREATS,Alcohol Withdrawal Syndrome
Prolanza,TREATS,autoimmune diseases
Prolanza,TREATS,lupus
Prolanza,TREATS,nephritis
Prolanza,TREATS,rheumatoid diseases
Prolanza,TREATS,skin inflammation
Prolanza,TREATS,arthritis
Prolanza,RELIEVES,sleep
Prolanza,RELIEVES,adaptogenic effect
Prolanza,RELIEVES,stress
Prolanza,RELIEVES,cognitive function
Prolanza,RELIEVES,physical performance
Prolanza,RELIEVES,memory
Prolanza,RELIEVES,thinking abilities
Prolanza,RELIEVES,orientation
Prolanza,RELIEVES,comprehension
Prolanza,RELIEVES,learning abilities
Prolanza,RELIEVES,emotional control
Prolanza,RELIEVES,inflammatory response
Prolanza,RELIEVES,apoptosis
Prolanza,RELIEVES,necrosis
Prolanza,RELIEVES,memory loss
Prolanza,RELIEVES,neuronal apoptosis
Prolanza,RELIEVES,inflammatory processes
Prolanza,RELIEVES,intrusive thoughts
Prolanza,RELIEVES,cognitive disturbance
Prolanza,RELIEVES,chronic alcohol consumption
Panax ginseng,TREATS,cancer
Panax ginseng,TREATS,obsessive-compulsive disorder
Panax ginseng,TREATS,infertility
Panax ginseng,TREATS,sleep disorders
Panax ginseng,TREATS,anxiety
Panax ginseng,TREATS,hypothyroidism
Panax ginseng,TREATS,Alzheimer's disease
Panax ginseng,TREATS,dementia
Panax ginseng,TREATS,HIV infection
Panax ginseng,TREATS,Parkinson's disease
Panax ginseng,TREATS,cerebral oedema
Panax ginseng,TREATS,Canine Cognitive Dysfunction
Panax ginseng,TREATS,Huntington's disease
Panax ginseng,TREATS,Alcohol Withdrawal Syndrome
Panax ginseng,TREATS,autoimmune diseases
Panax ginseng,TREATS,lupus
Panax ginseng,TREATS,nephritis
Panax ginseng,TREATS,rheumatoid diseases
Panax ginseng,TREATS,skin inflammation
Panax ginseng,TREATS,arthritis
Panax ginseng,RELIEVES,sleep
Panax ginseng,RELIEVES,adaptogenic effect
Panax ginseng,RELIEVES,stress
Panax ginseng,RELIEVES,cognitive function
Panax ginseng,RELIEVES,physical performance
Panax ginseng,RELIEVES,memory
Panax ginseng,RELIEVES,thinking abilities
Panax ginseng,RELIEVES,orientation
Panax ginseng,RELIEVES,comprehension
Panax ginseng,RELIEVES,learning abilities
Panax ginseng,RELIEVES,emotional control
Panax ginseng,RELIEVES,inflammatory response
Panax ginseng,RELIEVES,apoptosis
Panax ginseng,RELIEVES,necrosis
Panax ginseng,RELIEVES,memory loss
Panax ginseng,RELIEVES,neuronal apoptosis
Panax ginseng,RELIEVES,inflammatory processes
Panax ginseng,RELIEVES,intrusive thoughts
Panax ginseng,RELIEVES,cognitive disturbance
Panax ginseng,RELIEVES,chronic alcohol consumption
Solanaceae,TREATS,cancer
Solanaceae,TREATS,obsessive-compulsive disorder
Solanaceae,TREATS,infertility
Solanaceae,TREATS,sleep disorders
Solanaceae,TREATS,anxiety
Solanaceae,TREATS,hypothyroidism
Solanaceae,TREATS,Alzheimer's disease
Solanaceae,TREATS,dementia
Solanaceae,TREATS,HIV infection
Solanaceae,TREATS,Parkinson's disease
Solanaceae,TREATS,cerebral oedema
Solanaceae,TREATS,Canine Cognitive Dysfunction
Solanaceae,TREATS,Huntington's disease
Solanaceae,TREATS,Alcohol Withdrawal Syndrome
Solanaceae,TREATS,autoimmune diseases
Solanaceae,TREATS,lupus
Solanaceae,TREATS,nephritis
Solanaceae,TREATS,rheumatoid diseases
Solanaceae,TREATS,skin inflammation
Solanaceae,TREATS,arthritis
Solanaceae,RELIEVES,sleep
Solanaceae,RELIEVES,adaptogenic effect
Solanaceae,RELIEVES,stress
Solanaceae,RELIEVES,cognitive function
Solanaceae,RELIEVES,physical performance
Solanaceae,RELIEVES,memory
Solanaceae,RELIEVES,thinking abilities
Solanaceae,RELIEVES,orientation
Solanaceae,RELIEVES,comprehension
Solanaceae,RELIEVES,learning abilities
Solanaceae,RELIEVES,emotional control
Solanaceae,RELIEVES,inflammatory response
Solanaceae,RELIEVES,apoptosis
Solanaceae,RELIEVES,necrosis
Solanaceae,RELIEVES,memory loss
Solanaceae,RELIEVES,neuronal apoptosis
Solanaceae,RELIEVES,inflammatory processes
Solanaceae,RELIEVES,intrusive thoughts
Solanaceae,RELIEVES,cognitive disturbance
Solanaceae,RELIEVES,chronic alcohol consumption
Katakakhadiradi Kashayam,TREATS,cancer
Katakakhadiradi Kashayam,TREATS,obsessive-compulsive disorder
Katakakhadiradi Kashayam,TREATS,infertility
Katakakhadiradi Kashayam,TREATS,sleep disorders
Katakakhadiradi Kashayam,TREATS,anxiety
Katakakhadiradi Kashayam,TREATS,hypothyroidism
Katakakhadiradi Kashayam,TREATS,Alzheimer's disease
Katakakhadiradi Kashayam,TREATS,dementia
Katakakhadiradi Kashayam,TREATS,HIV infection
Katakakhadiradi Kashayam,TREATS,Parkinson's disease
Katakakhadiradi Kashayam,TREATS,cerebral oedema
Katakakhadiradi Kashayam,TREATS,Canine Cognitive Dysfunction
Katakakhadiradi Kashayam,TREATS,Huntington's disease
Katakakhadiradi Kashayam,TREATS,Alcohol Withdrawal Syndrome
Katakakhadiradi Kashayam,TREATS,autoimmune diseases
Katakakhadiradi Kashayam,TREATS,lupus
Katakakhadiradi Kashayam,TREATS,nephritis
Katakakhadiradi Kashayam,TREATS,rheumatoid diseases
Katakakhadiradi Kashayam,TREATS,skin inflammation
Katakakhadiradi Kashayam,TREATS,arthritis
Katakakhadiradi Kashayam,RELIEVES,sleep
Katakakhadiradi Kashayam,RELIEVES,adaptogenic effect
Katakakhadiradi Kashayam,RELIEVES,stress
Katakakhadiradi Kashayam,RELIEVES,cognitive function
Katakakhadiradi Kashayam,RELIEVES,physical performance
Katakakhadiradi Kashayam,RELIEVES,memory
Katakakhadiradi Kashayam,RELIEVES,thinking abilities
Katakakhadiradi Kashayam,RELIEVES,orientation
Katakakhadiradi Kashayam,RELIEVES,comprehension
Katakakhadiradi Kashayam,RELIEVES,learning abilities
Katakakhadiradi Kashayam,RELIEVES,emotional control
Katakakhadiradi Kashayam,RELIEVES,inflammatory response
Katakakhadiradi Kashayam,RELIEVES,apoptosis
Katakakhadiradi Kashayam,RELIEVES,necrosis
Katakakhadiradi Kashayam,RELIEVES,memory loss
Katakakhadiradi Kashayam,RELIEVES,neuronal apoptosis
Katakakhadiradi Kashayam,RELIEVES,inflammatory processes
Katakakhadiradi Kashayam,RELIEVES,intrusive thoughts
Katakakhadiradi Kashayam,RELIEVES,cognitive disturbance
Katakakhadiradi Kashayam,RELIEVES,chronic alcohol consumption
Chandraprabha Vati,TREATS,cancer
Chandraprabha Vati,TREATS,obsessive-compulsive disorder
Chandraprabha Vati,TREATS,infertility
Chandraprabha Vati,TREATS,sleep disorders
Chandraprabha Vati,TREATS,anxiety
Chandraprabha Vati,TREATS,hypothyroidism
Chandraprabha Vati,TREATS,Alzheimer's disease
Chandraprabha Vati,TREATS,dementia
Chandraprabha Vati,TREATS,HIV infection
Chandraprabha Vati,TREATS,Parkinson's disease
Chandraprabha Vati,TREATS,cerebral oedema
Chandraprabha Vati,TREATS,Canine Cognitive Dysfunction
Chandraprabha Vati,TREATS,Huntington's disease
Chandraprabha Vati,TREATS,Alcohol Withdrawal Syndrome
Chandraprabha Vati,TREATS,autoimmune diseases
Chandraprabha Vati,TREATS,lupus
Chandraprabha Vati,TREATS,nephritis
Chandraprabha Vati,TREATS,rheumatoid diseases
Chandraprabha Vati,TREATS,skin inflammation
Chandraprabha Vati,TREATS,arthritis
Chandraprabha Vati,RELIEVES,sleep
Chandraprabha Vati,RELIEVES,adaptogenic effect
Chandraprabha Vati,RELIEVES,stress
Chandraprabha Vati,RELIEVES,cognitive function
Chandraprabha Vati,RELIEVES,physical performance
Chandraprabha Vati,RELIEVES,memory
Chandraprabha Vati,RELIEVES,thinking abilities
Chandraprabha Vati,RELIEVES,orientation
Chandraprabha Vati,RELIEVES,comprehension
Chandraprabha Vati,RELIEVES,learning abilities
Chandraprabha Vati,RELIEVES,emotional control
Chandraprabha Vati,RELIEVES,inflammatory response
Chandraprabha Vati,RELIEVES,apoptosis
Chandraprabha Vati,RELIEVES,necrosis
Chandraprabha Vati,RELIEVES,memory loss
Chandraprabha Vati,RELIEVES,neuronal apoptosis
Chandraprabha Vati,RELIEVES,inflammatory processes
Chandraprabha Vati,RELIEVES,intrusive thoughts
Chandraprabha Vati,RELIEVES,cognitive disturbance
Chandraprabha Vati,RELIEVES,chronic alcohol consumption
Tinospora cordifolia,TREATS,cancer
Tinospora cordifolia,TREATS,obsessive-compulsive disorder
Tinospora cordifolia,TREATS,infertility
Tinospora cordifolia,TREATS,sleep disorders
Tinospora cordifolia,TREATS,anxiety
Tinospora cordifolia,TREATS,hypothyroidism
Tinospora cordifolia,TREATS,Alzheimer's disease
Tinospora cordifolia,TREATS,dementia
Tinospora cordifolia,TREATS,HIV infection
Tinospora cordifolia,TREATS,Parkinson's disease
Tinospora cordifolia,TREATS,cerebral oedema
Tinospora cordifolia,TREATS,Canine Cognitive Dysfunction
Tinospora cordifolia,TREATS,Huntington's disease
Tinospora cordifolia,TREATS,Alcohol Withdrawal Syndrome
Tinospora cordifolia,TREATS,autoimmune diseases
Tinospora cordifolia,TREATS,lupus
Tinospora cordifolia,TREATS,nephritis
Tinospora cordifolia,TREATS,rheumatoid diseases
Tinospora cordifolia,TREATS,skin inflammation
Tinospora cordifolia,TREATS,arthritis
Tinospora cordifolia,RELIEVES,sleep
Tinospora cordifolia,RELIEVES,adaptogenic effect
Tinospora cordifolia,RELIEVES,stress
Tinospora cordifolia,RELIEVES,cognitive function
Tinospora cordifolia,RELIEVES,physical performance
Tinospora cordifolia,RELIEVES,memory
Tinospora cordifolia,RELIEVES,thinking abilities
Tinospora cordifolia,RELIEVES,orientation
Tinospora cordifolia,RELIEVES,comprehension
Tinospora cordifolia,RELIEVES,learning abilities
Tinospora cordifolia,RELIEVES,emotional control
Tinospora cordifolia,RELIEVES,inflammatory response
Tinospora cordifolia,RELIEVES,apoptosis
Tinospora cordifolia,RELIEVES,necrosis
Tinospora cordifolia,RELIEVES,memory loss
Tinospora cordifolia,RELIEVES,neuronal apoptosis
Tinospora cordifolia,RELIEVES,inflammatory processes
Tinospora cordifolia,RELIEVES,intrusive thoughts
Tinospora cordifolia,RELIEVES,cognitive disturbance
Tinospora cordifolia,RELIEVES,chronic alcohol consumption
Pterocarpus marsupium,TREATS,cancer
Pterocarpus marsupium,TREATS,obsessive-compulsive disorder
Pterocarpus marsupium,TREATS,infertility
Pterocarpus marsupium,TREATS,sleep disorders
Pterocarpus marsupium,TREATS,anxiety
Pterocarpus marsupium,TREATS,hypothyroidism
Pterocarpus marsupium,TREATS,Alzheimer's disease
Pterocarpus marsupium,TREATS,dementia
Pterocarpus marsupium,TREATS,HIV infection
Pterocarpus marsupium,TREATS,Parkinson's disease
Pterocarpus marsupium,TREATS,cerebral oedema
Pterocarpus marsupium,TREATS,Canine Cognitive Dysfunction
Pterocarpus marsupium,TREATS,Huntington's disease
Pterocarpus marsupium,TREATS,Alcohol Withdrawal Syndrome
Pterocarpus marsupium,TREATS,autoimmune diseases
Pterocarpus marsupium,TREATS,lupus
Pterocarpus marsupium,TREATS,nephritis
Pterocarpus marsupium,TREATS,rheumatoid diseases
Pterocarpus marsupium,TREATS,skin inflammation
Pterocarpus marsupium,TREATS,arthritis
Pterocarpus marsupium,RELIEVES,sleep
Pterocarpus marsupium,RELIEVES,adaptogenic effect
Pterocarpus marsupium,RELIEVES,stress
Pterocarpus marsupium,RELIEVES,cognitive function
Pterocarpus marsupium,RELIEVES,physical performance
Pterocarpus marsupium,RELIEVES,memory
Pterocarpus marsupium,RELIEVES,thinking abilities
Pterocarpus marsupium,RELIEVES,orientation
Pterocarpus marsupium,RELIEVES,comprehension
Pterocarpus marsupium,RELIEVES,learning abilities
Pterocarpus marsupium,RELIEVES,emotional control
Pterocarpus marsupium,RELIEVES,inflammatory response
Pterocarpus marsupium,RELIEVES,apoptosis
Pterocarpus marsupium,RELIEVES,necrosis
Pterocarpus marsupium,RELIEVES,memory loss
Pterocarpus marsupium,RELIEVES,neuronal apoptosis
Pterocarpus marsupium,RELIEVES,inflammatory processes
Pterocarpus marsupium,RELIEVES,intrusive thoughts
Pterocarpus marsupium,RELIEVES,cognitive disturbance
Pterocarpus marsupium,RELIEVES,chronic alcohol consumption
Gymnema sylvestre,TREATS,cancer
Gymnema sylvestre,TREATS,obsessive-compulsive disorder
Gymnema sylvestre,TREATS,infertility
Gymnema sylvestre,TREATS,sleep disorders
Gymnema sylvestre,TREATS,anxiety
Gymnema sylvestre,TREATS,hypothyroidism
Gymnema sylvestre,TREATS,Alzheimer's disease
Gymnema sylvestre,TREATS,dementia
Gymnema sylvestre,TREATS,HIV infection
Gymnema sylvestre,TREATS,Parkinson's disease
Gymnema sylvestre,TREATS,cerebral oedema
Gymnema sylvestre,TREATS,Canine Cognitive Dysfunction
Gymnema sylvestre,TREATS,Huntington's disease
Gymnema sylvestre,TREATS,Alcohol Withdrawal Syndrome
Gymnema sylvestre,TREATS,autoimmune diseases
Gymnema sylvestre,TREATS,lupus
Gymnema sylvestre,TREATS,nephritis
Gymnema sylvestre,TREATS,rheumatoid diseases
Gymnema sylvestre,TREATS,skin inflammation
Gymnema sylvestre,TREATS,arthritis
Gymnema sylvestre,RELIEVES,sleep
Gymnema sylvestre,RELIEVES,adaptogenic effect
Gymnema sylvestre,RELIEVES,stress
Gymnema sylvestre,RELIEVES,cognitive function
Gymnema sylvestre,RELIEVES,physical performance
Gymnema sylvestre,RELIEVES,memory
Gymnema sylvestre,RELIEVES,thinking abilities
Gymnema sylvestre,RELIEVES,orientation
Gymnema sylvestre,RELIEVES,comprehension
Gymnema sylvestre,RELIEVES,learning abilities
Gymnema sylvestre,RELIEVES,emotional control
Gymnema sylvestre,RELIEVES,inflammatory response
Gymnema sylvestre,RELIEVES,apoptosis
Gymnema sylvestre,RELIEVES,necrosis
Gymnema sylvestre,RELIEVES,memory loss
Gymnema sylvestre,RELIEVES,neuronal apoptosis
Gymnema sylvestre,RELIEVES,inflammatory processes
Gymnema sylvestre,RELIEVES,intrusive thoughts
Gymnema sylvestre,RELIEVES,cognitive disturbance
Gymnema sylvestre,RELIEVES,chronic alcohol consumption
Zingiber officinale,TREATS,cancer
Zingiber officinale,TREATS,obsessive-compulsive disorder
Zingiber officinale,TREATS,infertility
Zingiber officinale,TREATS,sleep disorders
Zingiber officinale,TREATS,anxiety
Zingiber officinale,TREATS,hypothyroidism
Zingiber officinale,TREATS,Alzheimer's disease
Zingiber officinale,TREATS,dementia
Zingiber officinale,TREATS,HIV infection
Zingiber officinale,TREATS,Parkinson's disease
Zingiber officinale,TREATS,cerebral oedema
Zingiber officinale,TREATS,Canine Cognitive Dysfunction
Zingiber officinale,TREATS,Huntington's disease
Zingiber officinale,TREATS,Alcohol Withdrawal Syndrome
Zingiber officinale,TREATS,autoimmune diseases
Zingiber officinale,TREATS,lupus
Zingiber officinale,TREATS,nephritis
Zingiber officinale,TREATS,rheumatoid diseases
Zingiber officinale,TREATS,skin inflammation
Zingiber officinale,TREATS,arthritis
Zingiber officinale,RELIEVES,sleep
Zingiber officinale,RELIEVES,adaptogenic effect
Zingiber officinale,RELIEVES,stress
Zingiber officinale,RELIEVES,cognitive function
Zingiber officinale,RELIEVES,physical performance
Zingiber officinale,RELIEVES,memory
Zingiber officinale,RELIEVES,thinking abilities
Zingiber officinale,RELIEVES,orientation
Zingiber officinale,RELIEVES,comprehension
Zingiber officinale,RELIEVES,learning abilities
Zingiber officinale,RELIEVES,emotional control
Zingiber officinale,RELIEVES,inflammatory response
Zingiber officinale,RELIEVES,apoptosis
Zingiber officinale,RELIEVES,necrosis
Zingiber officinale,RELIEVES,memory loss
Zingiber officinale,RELIEVES,neuronal apoptosis
Zingiber officinale,RELIEVES,inflammatory processes
Zingiber officinale,RELIEVES,intrusive thoughts
Zingiber officinale,RELIEVES,cognitive disturbance
Zingiber officinale,RELIEVES,chronic alcohol consumption
Momordica charantia,TREATS,cancer
Momordica charantia,TREATS,obsessive-compulsive disorder
Momordica charantia,TREATS,infertility
Momordica charantia,TREATS,sleep disorders
Momordica charantia,TREATS,anxiety
Momordica charantia,TREATS,hypothyroidism
Momordica charantia,TREATS,Alzheimer's disease
Momordica charantia,TREATS,dementia
Momordica charantia,TREATS,HIV infection
Momordica charantia,TREATS,Parkinson's disease
Momordica charantia,TREATS,cerebral oedema
Momordica charantia,TREATS,Canine Cognitive Dysfunction
Momordica charantia,TREATS,Huntington's disease
Momordica charantia,TREATS,Alcohol Withdrawal Syndrome
Momordica charantia,TREATS,autoimmune diseases
Momordica charantia,TREATS,lupus
Momordica charantia,TREATS,nephritis
Momordica charantia,TREATS,rheumatoid diseases
Momordica charantia,TREATS,skin inflammation
Momordica charantia,TREATS,arthritis
Momordica charantia,RELIEVES,sleep
Momordica charantia,RELIEVES,adaptogenic effect
Momordica charantia,RELIEVES,stress
Momordica charantia,RELIEVES,cognitive function
Momordica charantia,RELIEVES,physical performance
Momordica charantia,RELIEVES,memory
Momordica charantia,RELIEVES,thinking abilities
Momordica charantia,RELIEVES,orientation
Momordica charantia,RELIEVES,comprehension
Momordica charantia,RELIEVES,learning abilities
Momordica charantia,RELIEVES,emotional control
Momordica charantia,RELIEVES,inflammatory response
Momordica charantia,RELIEVES,apoptosis
Momordica charantia,RELIEVES,necrosis
Momordica charantia,RELIEVES,memory loss
Momordica charantia,RELIEVES,neuronal apoptosis
Momordica charantia,RELIEVES,inflammatory processes
Momordica charantia,RELIEVES,intrusive thoughts
Momordica charantia,RELIEVES,cognitive disturbance
Momordica charantia,RELIEVES,chronic alcohol consumption
Mamajjaka,TREATS,cancer
Mamajjaka,TREATS,obsessive-compulsive disorder
Mamajjaka,TREATS,infertility
Mamajjaka,TREATS,sleep disorders
Mamajjaka,TREATS,anxiety
Mamajjaka,TREATS,hypothyroidism
Mamajjaka,TREATS,Alzheimer's disease
Mamajjaka,TREATS,dementia
Mamajjaka,TREATS,HIV infection
Mamajjaka,TREATS,Parkinson's disease
Mamajjaka,TREATS,cerebral oedema
Mamajjaka,TREATS,Canine Cognitive Dysfunction
Mamajjaka,TREATS,Huntington's disease
Mamajjaka,TREATS,Alcohol Withdrawal Syndrome
Mamajjaka,TREATS,autoimmune diseases
Mamajjaka,TREATS,lupus
Mamajjaka,TREATS,nephritis
Mamajjaka,TREATS,rheumatoid diseases
Mamajjaka,TREATS,skin inflammation
Mamajjaka,TREATS,arthritis
Mamajjaka,RELIEVES,sleep
Mamajjaka,RELIEVES,adaptogenic effect
Mamajjaka,RELIEVES,stress
Mamajjaka,RELIEVES,cognitive function
Mamajjaka,RELIEVES,physical performance
Mamajjaka,RELIEVES,memory
Mamajjaka,RELIEVES,thinking abilities
Mamajjaka,RELIEVES,orientation
Mamajjaka,RELIEVES,comprehension
Mamajjaka,RELIEVES,learning abilities
Mamajjaka,RELIEVES,emotional control
Mamajjaka,RELIEVES,inflammatory response
Mamajjaka,RELIEVES,apoptosis
Mamajjaka,RELIEVES,necrosis
Mamajjaka,RELIEVES,memory loss
Mamajjaka,RELIEVES,neuronal apoptosis
Mamajjaka,RELIEVES,inflammatory processes
Mamajjaka,RELIEVES,intrusive thoughts
Mamajjaka,RELIEVES,cognitive disturbance
Mamajjaka,RELIEVES,chronic alcohol consumption
Shilajatu,TREATS,cancer
Shilajatu,TREATS,obsessive-compulsive disorder
Shilajatu,TREATS,infertility
Shilajatu,TREATS,sleep disorders
Shilajatu,TREATS,anxiety
Shilajatu,TREATS,hypothyroidism
Shilajatu,TREATS,Alzheimer's disease
Shilajatu,TREATS,dementia
Shilajatu,TREATS,HIV infection
Shilajatu,TREATS,Parkinson's disease
Shilajatu,TREATS,cerebral oedema
Shilajatu,TREATS,Canine Cognitive Dysfunction
Shilajatu,TREATS,Huntington's disease
Shilajatu,TREATS,Alcohol Withdrawal Syndrome
Shilajatu,TREATS,autoimmune diseases
Shilajatu,TREATS,lupus
Shilajatu,TREATS,nephritis
Shilajatu,TREATS,rheumatoid diseases
Shilajatu,TREATS,skin inflammation
Shilajatu,TREATS,arthritis
Shilajatu,RELIEVES,sleep
Shilajatu,RELIEVES,adaptogenic effect
Shilajatu,RELIEVES,stress
Shilajatu,RELIEVES,cognitive function
Shilajatu,RELIEVES,physical performance
Shilajatu,RELIEVES,memory
Shilajatu,RELIEVES,thinking abilities
Shilajatu,RELIEVES,orientation
Shilajatu,RELIEVES,comprehension
Shilajatu,RELIEVES,learning abilities
Shilajatu,RELIEVES,emotional control
Shilajatu,RELIEVES,inflammatory response
Shilajatu,RELIEVES,apoptosis
Shilajatu,RELIEVES,necrosis
Shilajatu,RELIEVES,memory loss
Shilajatu,RELIEVES,neuronal apoptosis
Shilajatu,RELIEVES,inflammatory processes
